1537;9;Malignant neoplasm of splenic flexure
2894;9;Hypersplenism
28951;9;Chronic congestive splenomegaly
28953;9;Neutropenic splenomegaly
44283;9;Aneurysm of splenic artery
90223;9;Injury to splenic artery
90234;9;Injury to splenic vein
90239;9;Injury to portal and splenic veins, other
C185;10;Malignant neoplasm of splenic flexure
C861;10;Hepatosplenic T-cell lymphoma
D5702;10;Hb-SS disease with splenic sequestration
D57212;10;Sickle-cell/Hb-C disease with splenic sequestration
D57412;10;Sickle-cell thalassemia, unspecified, with splenic sequestration
D57432;10;Sickle-cell thalassemia beta zero with splenic sequestration
D57452;10;Sickle-cell thalassemia beta plus with splenic sequestration
D57812;10;Other sickle-cell disorders with splenic sequestration
D730;10;Hyposplenism
D731;10;Hypersplenism
D732;10;Chronic congestive splenomegaly
D7381;10;Neutropenic splenomegaly
Q8901;10;Asplenia (congenital)
R16;10;Hepatomegaly and splenomegaly, not elsewhere classified
R162;10;Hepatomegaly with splenomegaly, not elsewhere classified
S353;10;Injury of portal or splenic vein and branches
S3532;10;Injury of splenic vein
S35321;10;Laceration of splenic vein
S35321A;10;Laceration of splenic vein, initial encounter
S35321D;10;Laceration of splenic vein, subsequent encounter
S35321S;10;Laceration of splenic vein, sequela
S35328;10;Other specified injury of splenic vein
S35328A;10;Other specified injury of splenic vein, initial encounter
S35328D;10;Other specified injury of splenic vein, subsequent encounter
S35328S;10;Other specified injury of splenic vein, sequela
S35329;10;Unspecified injury of splenic vein
S35329A;10;Unspecified injury of splenic vein, initial encounter
S35329D;10;Unspecified injury of splenic vein, subsequent encounter
S35329S;10;Unspecified injury of splenic vein, sequela
1591;9;Malignant neoplasm of spleen, not elsewhere classified
1978;9;Secondary malignant neoplasm of other digestive organs and spleen
20007;9;Reticulosarcoma, spleen
20017;9;Lymphosarcoma, spleen
20027;9;Burkitt's tumor or lymphoma, spleen
20037;9;Marginal zone lymphoma, spleen
20047;9;Mantle cell lymphoma, spleen
20057;9;Primary central nervous system lymphoma, spleen
20067;9;Anaplastic large cell lymphoma, spleen
20077;9;Large cell lymphoma, spleen
20087;9;Other named variants of lymphosarcoma and reticulosarcoma, spleen
20107;9;Hodgkin's paragranuloma, spleen
20117;9;Hodgkin's granuloma, spleen
20127;9;Hodgkin's sarcoma, spleen
20147;9;Hodgkin's disease, lymphocytic-histiocytic predominance, spleen
20157;9;Hodgkin's disease, nodular sclerosis, spleen
20167;9;Hodgkin's disease, mixed cellularity, spleen
20177;9;Hodgkin's disease, lymphocytic depletion, spleen
20197;9;Hodgkin's disease, unspecified type, spleen
20207;9;Nodular lymphoma, spleen
20217;9;Mycosis fungoides, spleen
20227;9;Sezary's disease, spleen
20237;9;Malignant histiocytosis, spleen
20247;9;Leukemic reticuloendotheliosis, spleen
20257;9;Letterer-siwe disease, spleen
20267;9;Malignant mast cell tumors, spleen
20277;9;Peripheral T cell lymphoma, spleen
20287;9;Other malignant lymphomas, spleen
20297;9;Other and unspecified malignant neoplasms of lymphoid and histiocytic tissue, spleen
28950;9;Disease of spleen, unspecified
28959;9;Other diseases of spleen
7590;9;Anomalies of spleen
86500;9;Injury to spleen without mention of open wound into cavity, unspecified injury
86501;9;Injury to spleen without mention of open wound into cavity, hematoma without rupture of capsule
86502;9;Injury to spleen without mention of open wound into cavity, capsular tears, without major disruption of parenchyma
86503;9;Injury to spleen without mention of open wound into cavity, laceration extending into parenchyma
86504;9;Injury to spleen without mention of open wound into cavity, massive parenchymal disruption
86509;9;Other injury into spleen without mention of open wound into cavity
86510;9;Injury to spleen with open wound into cavity, unspecified injury
86511;9;Injury to spleen with open wound into cavity, hematoma without rupture of capsule
86512;9;Injury to spleen with open wound into cavity, capsular tears, without major disruption of parenchyma
86513;9;Injury to spleen with open wound into cavity, laceration extending into parenchyma
