,AUC mean,AUC std,F1 mean,F1 std,Prec mean,Prec std,Recall mean,Recall std,MCC mean,MCC std,Acc mean,Acc std,CM,Brier
STATIC,0.7785518212525512,0.031439247970244666,0.27137292911423627,0.013629678539145705,0.15903978723170736,0.008616276101457168,0.925,0.0311804782231162,0.27012801279744236,0.023445550478279512,0.5982351478995775,0.018696343770063895,"[[778 588]
 [  9 111]]",0.1691960793325407
STATIC+EVENT-CNT,0.889987177259075,0.019442197098266188,0.4198787245495709,0.029837623471030503,0.2841789805269187,0.03100399292427929,0.825,0.09279607271383371,0.4111043781606794,0.030069404058874965,0.8135742209567713,0.035501360481011886,"[[1110  256]
 [  21   99]]",0.07963069420623482
STATIC+BiPadLSTM,0.8637602715613664,0.03849113325428979,0.4918126788465772,0.055666875252624884,0.3871018399156217,0.05396994271313654,0.6833333333333333,0.08975274678557507,0.4570159179257004,0.06383446120321895,0.8855783788669696,0.016734765308166234,"[[1234  132]
 [  38   82]]",0.06340004397352328
STATIC+Med2Vec,0.8913415305294867,0.014648952503706123,0.5059695832653579,0.04869370391365151,0.37986258185050154,0.037952194054619276,0.7583333333333333,0.07168604389202189,0.4810900210289207,0.05847538699385396,0.8802137708177977,0.013581339302015171,"[[1217  149]
 [  29   91]]",0.062064961554171134
STATIC+Dipole,0.8702984768678199,0.03642224018315339,0.5106834384557796,0.04557340792304192,0.4068295133178492,0.031783325501605855,0.6916666666666668,0.097182531580755,0.47693385677094485,0.056768576123951434,0.893668225882991,0.008998610705191645,"[[1245  121]
 [  37   83]]",0.061500439134240616
STATIC+CEHR-BERT,0.857813293762199,0.054982296244231864,0.475688935895176,0.08336262803238369,0.3948843327132801,0.07138864108363065,0.6,0.10736748938937604,0.43075364713860315,0.09539137116261695,0.8930038641448037,0.01822815137404811,"[[1255  111]
 [  48   72]]",0.061440689038482356
STATIC+DOME,0.921831635517767,0.025076476820906902,0.4790852152914281,0.02103669198912031,0.33380667147060594,0.016871985226231713,0.85,0.042491829279939865,0.4723620630930644,0.02649769142507535,0.8506022190585949,0.009235744091996007,"[[1162  204]
 [  18  102]]",0.066320597086302
STATIC+GRU,0.9032228416352505,0.00785680716831638,0.5032380309948803,0.037446000771081796,0.3716624149659864,0.028264025722695953,0.7916666666666667,0.10865337342004414,0.4855670401364412,0.04992859061294041,0.8741486452895849,0.015661764244148887,"[[1204  162]
 [  25   95]]",0.07592784895097669
STATIC,0.7676693693573255,0.050471964419604214,0.2684600894962739,0.013151773243719628,0.15703057430538023,0.007761955274924961,0.925,0.04859126579037751,0.26669557380749037,0.026954565636534478,0.592872799584209,0.011628780730477723,"[[770 596]
 [  9 111]]",0.15379578837745966
STATIC+EVENT-CNT,0.8841348381950572,0.041574993975103926,0.43623993407836437,0.014774453489128094,0.3005113422274981,0.018377986131743105,0.8083333333333333,0.08579691784155835,0.4239341356232078,0.02421201218739213,0.8310826384651888,0.018553948108560862,"[[1138  228]
 [  23   97]]",0.08119983956835589
STATIC+BiPadLSTM,0.885194357548372,0.0403327436214933,0.5294545053087972,0.06646736045684049,0.4371829061244772,0.04901556355311766,0.675,0.1067187372905475,0.49344873275925627,0.077297373835126,0.9037692359840012,0.01251961459280354,"[[1262  104]
 [  39   81]]",0.06044500464275574
STATIC+Med2Vec,0.9026839188791744,0.043295792354458316,0.5176092677725848,0.05038166206917941,0.391629732630146,0.051369246977168694,0.7749999999999999,0.0816496580927726,0.495749047185734,0.05607324707422041,0.8822384923056065,0.02039835507031783,"[[1218  148]
 [  27   93]]",0.06310085231797156
STATIC+Dipole,0.8739673293049204,0.03431259998211879,0.5399856537854548,0.0555208457012335,0.43544385456466494,0.04655748258754108,0.7166666666666667,0.0964653075232519,0.5089639255499085,0.06490111495689264,0.9017535534314058,0.011705764855079775,"[[1254  112]
 [  34   86]]",0.061657264851476885
STATIC+CEHR-BERT,0.8584573830467992,0.04481433232394422,0.4950802693365623,0.04943620303102651,0.417597138633724,0.05041660274666293,0.6333333333333333,0.11606990230986765,0.45779605952075564,0.05434045513264314,0.896364088310397,0.01696710348203266,"[[1256  110]
 [  44   76]]",0.0613020700417305
STATIC+DOME,0.9230583184050337,0.03342105465742715,0.4830665336283314,0.026731901237356227,0.33851885369532425,0.02561396744616071,0.85,0.06236095644623238,0.4763786269813991,0.03213525848000157,0.8526201613449935,0.015156996668486125,"[[1165  201]
 [  18  102]]",0.06695131339703324
STATIC+GRU,0.8891584895234532,0.028551202191115996,0.5051002987622706,0.05319314808642799,0.36970880885473417,0.04011436602010781,0.8,0.09279607271383371,0.4877547183945269,0.06552590518573899,0.8734865432852011,0.01421425803373792,"[[1202  164]
 [  24   96]]",0.07227837096987468
STATIC,0.7791320753455789,0.02487095586536982,0.26590728638465366,0.009807963173227201,0.155855287980913,0.006785754472606418,0.9083333333333334,0.04082482904638632,0.2597860386862329,0.0153789990115724,0.5941902243915667,0.028588324159198555,"[[774 592]
 [ 11 109]]",0.14495024120591268
STATIC+EVENT-CNT,0.8851134216553925,0.014284059325989574,0.43535879269820194,0.054535107453657986,0.29989247468526997,0.053419579009969284,0.8166666666666667,0.05,0.42336063563447246,0.05480124867048553,0.8243215149255418,0.037699953568929585,"[[1127  239]
 [  22   98]]",0.07588603892682726
STATIC+BiPadLSTM,0.8493186456690106,0.016875010716807574,0.49690115828656733,0.020140476920550335,0.3977739063104917,0.023362904950573315,0.6666666666666667,0.052704627669472995,0.4596332852031118,0.024430696715551183,0.8909746231893882,0.00850050946345653,"[[1244  122]
 [  40   80]]",0.06166064911254771
STATIC+Med2Vec,0.8909946703742324,0.028515040046171707,0.4934776793600323,0.03690545731380301,0.37208036890645585,0.023456538362182745,0.7333333333333332,0.07264831572567788,0.4653068556739055,0.04697253492135608,0.8788647097371929,0.006110306833059361,"[[1218  148]
 [  32   88]]",0.06356351310069806
STATIC+Dipole,0.8836301168417957,0.01839902380720505,0.503601393306073,0.03802331458153945,0.4059972626601966,0.027003478518226532,0.6666666666666666,0.07905694150420946,0.4664341501425634,0.04667448399362917,0.8943393668225884,0.007353027960599928,"[[1249  117]
 [  40   80]]",0.06185952030227945
STATIC+CEHR-BERT,0.8779906174522963,0.030427876354311413,0.48239055349817334,0.06222546452519903,0.40117995699391046,0.060301591319398246,0.6083333333333333,0.06770032003863302,0.43826395641658655,0.0695962798080377,0.8936591869477775,0.017836413157274918,"[[1255  111]
 [  47   73]]",0.07176246842487514
STATIC+DOME,0.9219306190565314,0.019629946650187344,0.48850135695269037,0.03228992348925843,0.34044706705723654,0.024077445395482955,0.8666666666666666,0.06123724356957944,0.48464433746195323,0.04073033432276702,0.8533071204212144,0.012027632233458522,"[[1164  202]
 [  16  104]]",0.060054888825312534
STATIC+GRU,0.862948963040204,0.04890039692601457,0.5036630036630036,0.04015427320126339,0.4005596795098386,0.03097306788790124,0.6833333333333333,0.08164965809277261,0.46866235789097105,0.048512594200663506,0.8916525433303957,0.009166455238334405,"[[1243  123]
 [  38   82]]",0.06729476141489336
STATIC,0.7705141573754714,0.022605416225147088,0.2646526515726043,0.015562386715542461,0.15573863151194617,0.009297265138674517,0.8833333333333332,0.07168604389202189,0.25325368107836527,0.03281693694348303,0.6036472103586197,0.02222113989505007,"[[791 575]
 [ 14 106]]",0.15423082385449063
STATIC+EVENT-CNT,0.889828202008859,0.021249992931496136,0.4399889889245679,0.02531860338708193,0.3064925702169409,0.02610903958623606,0.7916666666666666,0.06972166887783965,0.4240531364044843,0.02958239971522231,0.8364721035861976,0.02072357309152259,"[[1148  218]
 [  25   95]]",0.08098899657754638
STATIC+BiPadLSTM,0.8816950638574725,0.045242088325089906,0.5224006124188807,0.044542320788124784,0.43395337995337996,0.04895648775301036,0.675,0.11606990230986766,0.488572998202248,0.05623774995762634,0.9010756332903984,0.011787919525019421,"[[1258  108]
 [  39   81]]",0.056147257227464914
STATIC+Med2Vec,0.9066609181572686,0.018734915186293447,0.5026635367762128,0.029371200203306923,0.40101689612015023,0.05402515189043053,0.7083333333333334,0.11486707293408518,0.47438841558458805,0.037118776341080524,0.8869409983503944,0.01766010752310402,"[[1233  133]
 [  35   85]]",0.06420406825704555
STATIC+Dipole,0.883322081406023,0.030474734969698686,0.4933483709273183,0.01793422907834608,0.4384469696969697,0.03234147606990388,0.5666666666666667,0.020412414523193187,0.4474783984400011,0.019778122595019137,0.9057894380042031,0.007032596566364343,"[[1278   88]
 [  52   68]]",0.058552615502700835
STATIC+CEHR-BERT,0.8711943976542516,0.029911977901309096,0.4752136752136752,0.05850051182552462,0.3943281755398199,0.04432008641777015,0.6083333333333333,0.11055415967851333,0.43288285754018324,0.06770681334258521,0.8923462816080268,0.014432373344409543,"[[1253  113]
 [  47   73]]",0.06440386701152322
