,AUC mean,AUC std,F1 mean,F1 std,Prec mean,Prec std,Recall mean,Recall std,MCC mean,MCC std,Acc mean,Acc std,CM,Brier
STATIC,0.5325521295474711,0.0839936708597208,0.12634327280804042,0.06745308294758375,0.07082211798286346,0.03823011309935686,0.6,0.3083861877846129,0.022304387243414873,0.0756582570694454,0.45784564860426924,0.25329061005579445,"[[357 445]
 [ 28  42]]",0.14472944238288854
STATIC+EVENT-CNT,0.780280612244898,0.02763565415435829,0.29452020887617986,0.04892047534293913,0.19922543644041094,0.03772033065415895,0.5714285714285714,0.07824607964359519,0.23765843889697794,0.06332068303372136,0.7775500821018062,0.029800885451491354,"[[638 164]
 [ 30  40]]",0.08814875301085762
STATIC+BiPadLSTM,0.7802617568766637,0.09244937651294374,0.5192707079774582,0.03248455762688683,0.47569884364002013,0.03263511243152159,0.5857142857142856,0.10497813183356476,0.47946997159474225,0.04095368311230185,0.9139967159277503,0.006204007981127072,"[[756  46]
 [ 29  41]]",0.05987449154682881
STATIC+Med2Vec,0.7592571539485359,0.11075523391219752,0.33965414365713287,0.19916194700640927,0.44060606060606056,0.15481972098382568,0.3,0.20898198340468274,0.3160260965651502,0.18972500709005702,0.9197175697865353,0.011538915807513893,"[[781  21]
 [ 49  21]]",0.06666591595615748
STATIC+Dipole,0.7434979480922805,0.07945760831195788,0.4715219189412737,0.08992160668748549,0.553921568627451,0.11797340358032407,0.42857142857142855,0.10101525445522107,0.4416006899472791,0.09187138914167675,0.9231592775041051,0.01767700386086452,"[[775  27]
 [ 40  30]]",0.0625169874859608
STATIC+CEHR-BERT,0.8009599600709849,0.08678093589368874,0.41186253957388547,0.1425487164026041,0.4016339869281046,0.17623562183583025,0.42857142857142855,0.11065666703449764,0.3581707893841634,0.1584540569183645,0.8979835796387519,0.02873495734605198,"[[753  49]
 [ 40  30]]",0.06971731025734947
STATIC+DOME,0.9370812999112689,0.04617813576967322,0.5946937784866384,0.07029804007150899,0.49073534984285494,0.08462520665626294,0.7714285714285715,0.08329931278350426,0.5706749019183707,0.07397541788934274,0.9140361247947455,0.021276435322831817,"[[743  59]
 [ 16  54]]",0.04703760208044667
STATIC+GRU,0.6627681344276841,0.09348878534520472,0.2473873873873874,0.10256605418532402,0.6343873517786561,0.31357104106415856,0.21428571428571427,0.12777531299998798,0.2719241606418724,0.05263084171705288,0.9059310344827587,0.030837271246777327,"[[775  27]
 [ 55  15]]",0.06991420426614912
STATIC,0.5287932564330081,0.04164404771178474,0.12501149408815757,0.06254629238709912,0.06802160093289375,0.034030451956255967,0.7714285714285715,0.38703477668983044,0.04726475042209406,0.029882370563830463,0.3157241379310345,0.3024672791647706,"[[221 581]
 [ 16  54]]",0.17104746591213882
STATIC+EVENT-CNT,0.769051131322094,0.03976482016089042,0.3188670601234268,0.07148751641007707,0.22542107117688515,0.07298727380670611,0.5857142857142857,0.0832993127835043,0.2655968975631038,0.08157890366265551,0.7890968801313629,0.05355877433921513,"[[647 155]
 [ 29  41]]",0.0945332629958852
